vin,vout,L,C,fsw,iload,rds_on,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency
12.0,5.0,1.603296351021298e-05,0.00041248950017267686,987831.1331991262,4.6668823503058,0.028456462479395157,0.4166666666666667,0.18415787058505775,True,0.0018980730133972036,0.47609959745870356,1.1064220033462993,1.582521600805003,0.936488107166817
12.0,5.0,4.912224280109785e-06,0.0002619395915800652,174985.56997109344,4.835146818112137,0.04094953681018693,0.4166666666666667,3.3931759052522152,True,0.043185407684161535,0.6586455394852071,0.2030594212467051,0.8617049607319122,0.9655833426507162
12.0,5.0,1.5882172454757463e-05,0.00032831329758894486,441552.01457561826,2.223470913665786,0.03308615557313677,0.4166666666666667,0.4159058416002699,True,0.004517678567366188,0.11793613719293952,0.23562673470706041,0.3535628718999999,0.9691774547465539
12.0,5.0,4.4510888583363356e-05,0.00044379720623200967,656545.98533998,4.578374285680669,0.03713264070385512,0.4166666666666667,0.09980570895641958,True,0.0010408740351469388,0.5339513636556923,0.7214191815953861,1.2553705452510784,0.9480118455506953
12.0,5.0,3.0090273637616982e-05,3.626300048004763e-05,575517.7984052112,3.384079756553217,0.030804218342402625,0.4166666666666667,0.1684231951180878,True,0.002692995591364788,0.26156134497875083,0.46742355146859615,0.728984896447347,0.9586962972930375
12.0,5.0,9.503004150250803e-06,0.00018709091167785989,787446.4948854692,0.2420977596817827,0.02047863712683487,0.4166666666666667,0.38976678353388183,True,0.004228373087823113,0.0013208518914159804,0.045753367747450674,0.047074219638866655,0.962567108794322
12.0,5.0,1.8871673432817445e-05,0.0002019626238237433,849198.3409282619,2.06703874411817,0.04519939124898412,0.4166666666666667,0.18199826533293484,True,0.0019526295580771472,0.12327322137829202,0.4212782093135011,0.5445514306917931,0.949948144637598
12.0,5.0,3.6532720781420716e-05,0.00043928070576547347,365099.40733397234,1.709164652340546,0.00848810891167433,0.4166666666666667,0.21867223951320133,True,0.0023571541082354755,0.03959797728945788,0.14976360038536998,0.18936157767482786,0.978321972441705
12.0,5.0,3.270344088139814e-05,0.0002985621512622325,729823.7315938937,0.9093436254377851,0.024761042346086188,0.4166666666666667,0.12220117109887407,True,0.0012921140725494135,0.016825612382005507,0.15927853392434985,0.17610414630635535,0.9627120954149259
12.0,5.0,2.8583649063188457e-05,3.357073043440128e-05,468088.9071536619,4.151638600758646,0.04956048418616547,0.4166666666666667,0.21799211141848032,True,0.00391397125386173,0.5284114126509527,0.46640063412625743,0.9948120467772101,0.954267833595197
12.0,5.0,2.295805916216415e-05,0.00033759773278375433,422846.6107957062,3.237581252789014,0.04465955435934103,0.4166666666666667,0.300447623816871,True,0.003267561434521141,0.30008387071939757,0.32856006238021235,0.6286439330996099,0.962617544874924
