L,C,fsw,iload,rds_on,vout_max,vout_min,ripple,pin_avg,pout_avg,efficiency_spice,vin,vout,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency_analytical,vout_spice,vout_error_pct,efficiency_error_pct,ripple_error_pct,Q_factor,ripple_abs_error
1.9405401235208183e-05,0.0002347989842677,465611.2590417664,4.471280214210131,0.0483664263735241,4.71710824966,4.71657896042,0.0005292892400001,-21.0928472176,19.8959382528,0.9432552204805574,12.0,5.0,0.4166666666666667,0.3228053307144953,True,0.0035971422404304,0.603084621249224,0.4996508184160602,1.1027354396652842,0.9529933491302393,4.716843605039999,-5.663127899200013,-1.021846444003984,-85.2858406862229,3.8897788443836885,-0.0030678530004303
2.5208464780536806e-06,0.0001358463327963,989179.8755357736,2.5308364500799807,0.0359846633953657,4.78482373714,4.78357028961,0.0012534475299998,-12.1372255107,11.5855874406,0.9545499035497294,12.0,5.0,0.4166666666666667,1.1696747869675248,True,0.0127848056286725,0.1629369592559486,0.6008285963259634,0.7637655555819121,0.9430788100665124,4.784197013375,-4.316059732500008,1.2163451623314423,-90.19580299923612,14.502961175853748,-0.011531358098672699
3.746975050496528e-05,0.00034496832521,842933.2349273107,4.011597842751581,0.0292392906816783,4.77144908905,4.75736618042,0.0140829086299998,-19.1315552866,18.2039885473,0.9515163965812188,12.0,5.0,0.4166666666666667,0.0923448796367925,True,0.000963145133465,0.35700555541893,0.8115621952363227,1.1685677506552523,0.9449478428077438,4.764407634735,-4.711847305300001,0.6951234211993857,1362.1792854141606,3.781828450503748,0.0131197634965348
3.292911613007215e-05,0.000271402172526,274563.313389058,4.463293624235989,0.0311661768053803,4.7457408905,4.74326658249,0.0024743080099991,-21.1767190819,20.0931813273,0.9488335397750016,12.0,5.0,0.4166666666666667,0.3225998917986435,True,0.0037671498408387,0.4581013695848025,0.2941096046636376,0.7522109742484402,0.9673925424539148,4.744503736495,-5.1099252701,-1.9184562485706076,-34.3188321532697,3.2161120326208463,-0.0012928418308396001
2.309500804870957e-06,0.0003490640706695,986941.4896448108,2.935731007749337,0.0490159246368655,4.76168203354,4.7608704567,0.0008115768399994,-14.0163129389,13.3102742954,0.9496273630178088,12.0,5.0,0.4166666666666667,1.27960896430688,True,0.0132603811414709,0.2663549884733616,0.6953747361563021,0.9617297246296636,0.9385098423613172,4.7612762451199995,-4.7744750976000105,1.1845928678296689,-93.87968693100946,20.93858165244594,-0.0124488043014715
4.251456345110207e-05,0.000222451615172,226040.9625950543,3.407698311895607,0.0120591996850958,4.79328611016,4.78664447248,0.0066416376800004,-16.3303081441,15.6340331718,0.9573630230271216,12.0,5.0,0.4166666666666667,0.3035022578137391,True,0.0037895051769094,0.1745878860110849,0.1848670575970618,0.3594549436081468,0.9793392315843492,4.78996529132,-4.200694173600006,-2.243983274485498,75.2639822336147,3.3562769082003827,0.002852132503091
2.5351026539977205e-05,0.0003472672530671,477235.4901498968,2.797858710975468,0.0203658921855017,4.80611428618,4.77800353527,0.0281107509099998,-13.3906928342,12.8414119927,0.9589804016639728,12.0,5.0,0.4166666666666667,0.2410785193043653,True,0.002592617883049,0.1447965298376242,0.3204569935926085,0.4652535234302327,0.9678126529382264,4.792058910725,-4.158821785499995,-0.9125992770852236,984.2612439647556,6.614215884647469,0.0255181330269508
1.3360757052046788e-05,0.0002194005670375,468171.4065621712,2.105263328514173,0.0445657347422284,4.78031158447,4.77889347076,0.0014181137099997,-10.0708892358,9.61883394768,0.955112674011642,12.0,5.0,0.4166666666666667,0.4662843566317096,True,0.0052302813194002,0.1271395023075803,0.2365497824866173,0.3636892847941977,0.9666033896381728,4.779602527614999,-4.4079494477000125,-1.1887725358414183,-72.88647352983439,9.624250495741377,-0.0038121676094004997
4.200595724286738e-05,0.0002604873366599,991320.3016438944,1.3949217395868516,0.035070953065787,4.85272277296,4.7741560936,0.0785666793599997,-6.64054971709,6.45217535344,0.9716327154113156,12.0,5.0,0.4166666666666667,0.0700425440572606,True,0.0007343310308243,0.047902001596026,0.3318754175176473,0.3797774191136733,0.9483604187937148,4.81343943328,-3.7312113343999975,2.453950645388851,10599.082030049467,8.926023508278746,0.07783234832917539
4.343440293268896e-05,0.0003173279733531,902963.7245290668,0.9672321576535856,0.0341736422315617,4.88944578171,4.75717067719,0.1322751045199997,-4.67832877773,4.5128985469,0.964639032720939,12.0,5.0,0.4166666666666667,0.0743674069953573,True,0.0007761165458411,0.0226876943584511,0.2096101323742001,0.2322978267326513,0.9541679543273484,4.82330822945,-3.5338354109999948,1.0974041148732911,16943.2012084795,13.972577537246378,0.1314989879741586
