L,C,fsw,rds_on,efficiency,ripple,p_total_loss
1.3218198270486734e-05,2.121171246451334e-05,154942.9206798554,0.0051229076766184205,0.9671435554219664,0.06408471036457061,0.3300278147130462
4.5142054989090256e-05,8.437456815745827e-05,155659.60235262147,0.005103695598773245,0.9666852648017074,0.005503737178971765,0.32832085689596857
4.50801258515653e-05,7.346776155337047e-05,123601.59677262433,0.005110516787596942,0.9684248263594771,0.009370961969127654,0.3584027400913732
2.9468713801313412e-05,2.0530496028475068e-05,102210.4764296881,0.0051054174263490135,0.9698497851087035,0.06121289152406692,0.34200456918643196
3.5529736170666546e-05,0.00010423335008293786,115960.01839381951,0.00510268662577389,0.9687887723204757,0.01150947790347576,0.34655747742818077
4.51446751892537e-05,8.351832599532126e-05,126147.6978007013,0.005101478600722972,0.9682867223975326,0.008609371071090697,0.3597020766439931
2.9470160496019182e-05,0.00013022523642872621,134882.63742601257,0.005122943829868604,0.9679822523786009,0.009285220687618254,0.35213452011669844
4.5190942265179313e-05,8.442809855228645e-05,105775.41649118748,0.005100932441436544,0.9691255981681014,0.012436986712148188,0.34890464308886693
2.941839605819716e-05,0.00015870999004541475,103160.45730514533,0.00510266530879168,0.9694121082021178,0.017084778886674406,0.3362630102070686
3.556587756490765e-05,0.00010496990709027119,126655.60700245725,0.005100942999509015,0.9682782585379744,0.010139135455121993,0.3528854641454049
4.519397558440139e-05,8.226003926858312e-05,134591.08802052456,0.005164727302173101,0.9679323131796981,0.007568111454477308,0.3616635164919393
1.299980878842586e-05,5.4509796524827245e-05,154650.9934329417,0.005101090301495141,0.9671182234479369,0.036317778562536235,0.33085243007235254
3.506293166586031e-05,0.00010494093980332103,109026.01401867068,0.005100549394612253,0.9690335089919234,0.01260194629185438,0.34408216358588417
4.506471987590075e-05,6.754932552206513e-05,109017.92534744726,0.005122976215744586,0.9690286810156966,0.012389045019974707,0.35108855727343724
3.3655929518237244e-05,0.00015815503282789794,102805.91330222199,0.005117684187028374,0.9692109520194198,0.01908201568505805,0.3361603188547012
4.5087848495281506e-05,8.544062646886952e-05,162100.37074882424,0.005156435229095442,0.9664144809004928,0.005061944757928846,0.3320333321958038
3.558591109384477e-05,0.00014093125362537687,112939.21604817724,0.005168260461836158,0.9689747984168197,0.013278414164124489,0.34119368523682325
3.5551355872276355e-05,0.00014081857176951118,116528.69855019874,0.005120198553560986,0.9688188726660872,0.012704140175519943,0.34119368523682325
4.5125271062167455e-05,8.354204451602268e-05,129275.65082584499,0.005122775239062422,0.968157618736949,0.008058891442945002,0.3601063004436986
3.556587756490765e-05,0.00010515530097524607,131012.95054056575,0.005100942999509015,0.968149154877391,0.009023053382863997,0.3532896879451104
4.65533469062025e-05,6.89594143236433e-05,156971.66402997344,0.005103171886467699,0.9665081197974349,0.009528866219952383,0.32768556824021067
2.941839605819716e-05,0.00011487615743504717,121353.57878181466,0.00510266530879168,0.968617518682617,0.012250868414869307,0.34585172862137525
2.9312664826447925e-05,0.00013005196318291594,126835.33610075538,0.005103863021454107,0.9684621889783324,0.01116660497837305,0.3467416855725166
3.155089678139917e-05,3.79973561050061e-05,154653.2352249945,0.0051001956213539154,0.9667223984954024,0.017250839432110785,0.3279926066666099
2.9468713801313412e-05,2.189694341060892e-05,154744.94606381905,0.005100616157025209,0.9670564134313048,0.02728169206284523,0.3287563284306976
4.51868213912506e-05,0.00011472017972617539,102240.14390778897,0.0051005754782780036,0.9692194158789779,0.014315116819380283,0.3476341253819959
4.502309498832684e-05,1.3296615316024349e-05,779744.2453516145,0.005100925080612573,0.9658793754481871,1e-06,0.3407726284081079
4.5087848495281506e-05,8.544062646886952e-05,120305.9558961063,0.005156435229095442,0.9685460622069503,0.0095145374511981,0.35690847399859593
